T,lon,lat,Regime,% Vol,link
2827,-80.539,28.484,Inundation/Overwash,101,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2827_results.png
1623,-80.156,25.667,Collision,14,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1623_results.png
1294,-81.208,29.657,Inundation/Overwash,104,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1294_results.png
2444,-80.041,26.562,Collision,43,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2444_results.png
2792,-80.608,28.299,Inundation/Overwash,98,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2792_results.png
1751,-80.046,26.854,Inundation/Overwash,63,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1751_results.png
2591,-80.187,27.237,Inundation/Overwash,119,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2591_results.png
1432,-81.398,30.358,Inundation/Overwash,28,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1432_results.png
1679,-80.096,26.186,Inundation/Overwash,91,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1679_results.png
2897,-80.934,29.095,Inundation/Overwash,59,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2897_results.png
1399,-81.369,30.207,Collision,25,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1399_results.png
2514,-80.055,26.885,Collision,26,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2514_results.png
2784,-80.601,28.236,Inundation/Overwash,32,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2784_results.png
1326,-81.264,29.832,Inundation/Overwash,52,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1326_results.png
2636,-80.293,27.478,Inundation/Overwash,90,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2636_results.png
2515,-80.056,26.889,Inundation/Overwash,92,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2515_results.png
1484,-81.46,30.759,Inundation/Overwash,10,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1484_results.png
1459,-81.44,30.54,Inundation/Overwash,54,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1459_results.png
2634,-80.291,27.47,Inundation/Overwash,106,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2634_results.png
1283,-81.187,29.608,Inundation/Overwash,75,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1283_results.png
1265,-81.152,29.53,Inundation/Overwash,53,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1265_results.png
2508,-80.046,26.856,Inundation/Overwash,26,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2508_results.png
2841,-80.567,28.549,Inundation/Overwash,66,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2841_results.png
1462,-81.444,30.562,Inundation/Overwash,45,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1462_results.png
1239,-81.101,29.424,Inundation/Overwash,71,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1239_results.png
2498,-80.035,26.813,Inundation/Overwash,80,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2498_results.png
2704,-80.396,27.762,Inundation/Overwash,11,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2704_results.png
2974,-81.267,29.861,Inundation/Overwash,11,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2974_results.png
1741,-80.037,26.766,Inundation/Overwash,95,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1741_results.png
2767,-80.552,28.058,Inundation/Overwash,92,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2767_results.png
1404,-81.375,30.23,Inundation/Overwash,58,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1404_results.png
1337,-81.275,29.891,Inundation/Overwash,39,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1337_results.png
2824,-80.533,28.472,Inundation/Overwash,71,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2824_results.png
2966,-81.211,29.665,Inundation/Overwash,85,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2966_results.png
2799,-80.607,28.343,Inundation/Overwash,34,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2799_results.png
2522,-80.066,26.919,Inundation/Overwash,108,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2522_results.png
2763,-80.541,28.034,Inundation/Overwash,48,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2763_results.png
2540,-80.09,27.003,Inundation/Overwash,95,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2540_results.png
2721,-80.429,27.826,Inundation/Overwash,95,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2721_results.png
2859,-80.631,28.654,Inundation/Overwash,29,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2859_results.png
